file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
UP009,Uttar Pradesh,Ghaziabad,UPPCB,"Vasundhara, Ghaziabad ",September,9,2017,28.6623758,77.37344
UP010,Uttar Pradesh,Moradabad,UPPCB,"Lajpat Nagar, Moradabad ",November,11,2017,28.8253591,78.7830383
UP011,Uttar Pradesh,Lucknow,UPPCB,"Nishant Ganj, Lucknow ",December,12,2017,26.8669313,80.94980149999999
UP012,Uttar Pradesh,Greater Noida,UPPCB,"Knowledge Park   III, Greater Noida ",May,5,2018,28.4784639,77.4817901
UP013,Uttar Pradesh,Bulandshahr,UPPCB,"Yamunapuram, Bulandshahr ",May,5,2018,28.4088401,77.8295809
UP014,Uttar Pradesh,Muzaffarnagar,UPPCB,"New Mandi, Muzaffarnagar ",June,6,2018,29.4676905,77.7115687
UP015,Uttar Pradesh,Baghpat,UPPCB,"New Collectorate, Baghpat ",July,7,2018,28.94,77.22
UP016,Uttar Pradesh,Hapur,UPPCB,"Anand Vihar, Hapur ",October,10,2018,28.7222506,77.7537913
UP017,Uttar Pradesh,Ghaziabad,UPPCB,"Sanjay Nagar, Ghaziabad ",February,2,2019,28.6939957,77.4549679
UP018,Uttar Pradesh,Ghaziabad,UPPCB,"Indirapuram, Ghaziabad ",February,2,2019,28.6460176,77.3695166
UP019,Uttar Pradesh,Ghaziabad,UPPCB,"Loni, Ghaziabad ",February,2,2019,28.7317295,77.2900919
UP020,Uttar Pradesh,Greater Noida,UPPCB,"Knowledge Park   V, Greater Noida ",June,6,2019,28.5508777,77.47088509999999
UP021,Uttar Pradesh,Noida,UPPCB,"Sector 1, Noida ",June,6,2019,28.5900173,77.3116215
UP022,Uttar Pradesh,Noida,UPPCB,"Sector 116, Noida ",June,6,2019,28.563911,77.41050349999999
UP023,Uttar Pradesh,Meerut,UPPCB,"Jai Bhim Nagar, Meerut ",June,6,2019,28.9579131,77.75951309999999
UP024,Uttar Pradesh,Lucknow,UPPCB,"Gomti Nagar, Lucknow ",August,8,2019,26.8496217,81.0072193
UP025,Uttar Pradesh,Meerut,UPPCB,"Ganga Nagar, Meerut ",October,10,2019,28.9997246,77.7593586
